Ticker,H,c
CAH,0.6945669083981069,0.8155365873690932
GPN,0.3241040971464819,2.0801799093892153
XYL,0.5345836270281534,1.0829139668259389
RJF,0.5752518583056386,1.1516337180267575
KEYS,0.4603043376482943,1.2022641551939686
HPE,0.4957837966232309,1.0566961866871356
DOW,0.4006347482938835,1.5256859607990074
ON,0.4077570531889831,1.6360929454935267
PPG,0.32100319077622047,1.7737041963746873
CCL,0.5349666325861467,1.382362463345626
NUE,0.3459732726766859,2.079928934135562
KHC,0.4009708836630893,1.7790478774853
BR,0.8018627634544586,0.5294504861720764
CHD,0.6203986058665506,0.8582362732640512
DOV,0.6051633235505884,0.7717634517311683
MTD,0.5527976332517369,1.028174364629524
TYL,0.7516669122167419,0.5917634963992776
FTV,0.39877007284630483,1.6278537255299128
TROW,0.43147261899779416,1.3740249981379784
EQT,0.41022216618378515,1.4843670555680641
SYF,0.6842196948920678,0.7750457545770834
NVR,0.79427574177151,0.631087076176321
HSY,0.5047998455265771,1.7481860311927229
DTE,0.5695871608380132,0.9458338614753683
VTR,0.5169911446592169,1.3429859258055559
AWK,0.4137374067319606,1.6213147081033739
BRO,0.7880504232168367,0.6671284804691928
EQR,0.5072562411858266,1.2296096475382496
NTAP,0.6699612680510485,0.9391450694673157
ADM,0.535975175961139,1.1977986794468845
WST,0.5443205794756313,1.2528703462290693
CPAY,0.6516259929775091,0.8926453937285772
PPL,0.5768363373039541,1.0977698174685229
WBD,0.47369436687060257,1.2152525724826178
AEE,0.48717055796042563,1.2508216405260244
HBAN,0.5445513237260552,1.1050602203187123
CDW,0.47874297961411727,1.3524250669094895
HUBB,0.6727506986493748,0.8019879793658355
HAL,0.355414521747541,1.9442145818005112
EXPE,0.515465320671879,1.240051309699585
PHM,0.8122296320373232,0.6394523781999497
CINF,0.5623604749341775,1.0705021388226101
PTC,0.71392219203257,0.6841815120755358
DRI,0.4101314064322267,1.6498652819937838
SBAC,0.4904589730971411,1.3037250932758482
IFF,0.49828890150455535,1.2683717730955186
WAT,0.49101188551638064,1.1368623396588615
TDY,0.43471356555602647,1.3057259506602685
ATO,0.6159455559418188,0.806124054530696
K,0.6750050795197741,0.7950129929971987
RF,0.535291472493643,1.216231939081569
BIIB,0.686492187367509,0.8131488470684471
TPL,0.6259604805992531,1.1582693441102216
ZBH,0.4900027839681291,1.3103487939456262
CNP,0.344288117161195,1.6740396777175939
LYV,0.5598522631136373,1.1382884494117764
ES,0.6007225201473021,0.9822018160796492
WDC,0.6327743502481092,0.8028452727539607
TER,0.4034712704973579,1.6741134402833533
STE,0.37713232925141016,1.7216948615576246
