Ticker,VolWeek,VolNextWeek,VolNext2Week,NbWeek
SCHW,0.25354120251342294,0.3663336613168614,0.3663336613170005,106
DE,0.23660767281433343,0.26667828544781236,0.26798793299479406,106
TMUS,0.1665528610872296,0.17477146751833764,0.17477713136042083,106
ADI,0.22677372477868676,0.25561130809262467,0.25748761166616957,106
MMC,0.14347585535120444,0.14347585535120444,0.1434758553512044,106
MDT,0.19327155903609908,0.2097819891019662,0.20978198910198464,106
LMT,0.15136847343400486,0.17976695960941155,0.18081346860879266,106
CB,0.15930980995727867,0.17765221586107913,0.17939419534866752,106
VRTX,0.20894920863491828,0.2643315278439253,0.26433152784398073,106
MU,0.5378208246120457,0.532323752781851,0.5272615368118841,106
SBUX,0.2289712598581724,0.2912275804241494,0.2912275804257866,106
KKR,0.3115706567797333,0.3272957250494488,0.32752417827172,106
PLD,0.22813062219894586,0.25770645568531236,0.25770645568534445,106
