Ticker,Volatility,NbWeek,Hurst,c
LEN,0.37036652559055405,105,0.6912784685818544,0.7756889790382007
NRG,0.3696072384371762,105,0.8028257044953906,0.6715365610040265
FCX,0.36768605236766916,105,0.3736224860784038,1.5502034374164104
HES,0.36754449889005686,105,0.32580890771757365,1.798895750384873
MTCH,0.3671454899723665,105,0.4097909641809411,1.6928232764535027
SYF,0.3670608220060746,105,0.6831182797097891,0.777723409906122
EQT,0.3628558486674977,105,0.4096233144939548,1.4868880738996997
FANG,0.36169951477225265,105,0.6140441793500266,0.713707591983422
CBRE,0.3612498613033702,105,0.5989114190948401,0.9685341950675455
EXR,0.36078051387491183,105,0.591920795596966,0.9566566245740898
PHM,0.3589960279661098,105,0.8119432957993328,0.6399112919491072
CRL,0.35866817534917833,105,0.43835342632276453,1.2740948535172005
PLD,0.3586095103721064,105,0.4071184540960207,1.4811497636266984
CSGP,0.3584211215230594,105,0.358217524083806,1.750566517648931
ZBRA,0.35819003222032897,105,0.5728317118997119,0.916056771508517
META,0.35731768141583414,105,0.875615965360301,0.5956556157231434
LULU,0.356992479719047,105,0.5674951490880691,1.2480295351560353
INCY,0.35467261185525345,105,0.47592550589988036,1.4880932384238164
DFS,0.35441672513509354,105,0.5956762555092816,0.9203911684699511
KEYS,0.3531846745679053,105,0.45982029105057376,1.2037614246914736
FICO,0.3517934939473409,105,0.908068167418982,0.5138273135039929
KKR,0.3512433140121432,105,0.8011977368133318,0.6240514946330635
PODD,0.34958442403249645,105,0.6172607980461257,0.9615350429778389
PYPL,0.349564859633953,105,0.5053778018199018,1.1722419868604421
NDSN,0.34864152414163113,105,0.41454757169241296,1.4583103167837608
SNPS,0.34839055060645296,105,0.6195350703690685,1.0101294399002874
MPC,0.3480138119408902,105,0.5867207000487948,1.0575845322955422
ON,0.34789962067369934,105,0.4076702554477356,1.6363250481499652
HSIC,0.34635432393142923,105,0.4919525814969842,1.184775774979703
UNH,0.3456967703827806,105,0.4239028531177699,1.3153880683824635
ODFL,0.3454563913177951,105,0.47369992181082454,1.2339948510594907
CMCSA,0.3434914020643735,105,0.48433993602057623,1.1337467334136293
FTNT,0.342822899792214,105,0.44788173779214435,1.550407542610735
CHRW,0.34237443932453165,105,0.5099132017171959,1.1603874925352167
COF,0.34154595784280173,105,0.6164318999111418,0.9326750011358466
IR,0.3414360575717147,105,0.6889224960230564,0.7663365383000393
CRM,0.3409166592790198,105,0.700424729638783,0.8862026119055706
GPC,0.3403068085755263,105,0.4730057804438905,1.2424270544887934
EMR,0.3396629968317596,105,0.5438900587609617,1.0306062639551647
APD,0.3388914287301321,105,0.4823568643829295,1.0854161334860577
EXPE,0.3388303718993849,105,0.5151939727119695,1.2411162749617934
DAY,0.3382780468418856,105,0.37714161746806296,1.626921876840886
BA,0.33801537683086236,105,0.5674854020654215,0.9504248078793843
GM,0.3358977663193462,105,0.5883481768779344,0.9640809225971143
UBER,0.3358390106268323,105,0.7477964066552962,0.7813299839876378
EA,0.33528665952754555,105,0.4998465944002292,1.2435969024712081
LVS,0.3303330073658766,105,0.43682819037820436,1.4694713109234576
CDNS,0.32986755523488887,105,0.611183933889192,1.0615809006464756
BEN,0.32965830335531365,105,0.48726189274150417,1.231739058356377
ADM,0.32902155501979,105,0.5413121128415612,1.1794641179028373
SWK,0.32814374182391665,105,0.39658307019152156,1.5083065725939997
RMD,0.3262888982055862,105,0.5858708299992098,0.8892949739707463
IVZ,0.3261501618696577,105,0.45038738793114386,1.2424148913232624
QCOM,0.3254922873346271,105,0.6288194709648371,0.8187077242070889
DAL,0.32431650434167647,105,0.45781852883814,1.8419151389891952
WAT,0.3236583453419565,105,0.49020077122515093,1.1394306213374725
